"customer_city","customer_state","total_sales"
"monte alto","SP","1084210.36"
"cachoeira paulista","SP","1073882.85"
"itabuna","BA","1071151.36"
"frutal","MG","1070334.20"
"gravatai","RS","1069785.76"
"santo antonio da patrulha","RS","1064592.80"
"catanduva","SP","1052635.18"
"bom jesus do itabapoana","RJ","1043322.30"
"sao roque","SP","1036095.37"
"leme","SP","1034365.98"
"toledo","PR","1032279.95"
"januaria","MG","1028941.30"
"garca","SP","1023127.82"
"passos","MG","1020037.84"
"medianeira","PR","1002518.40"
"sao gotardo","MG","1000649.00"
"manaus","AM","998728.84"
"ferraz de vasconcelos","SP","997512.95"
"pindamonhangaba","SP","983357.31"
"pirassununga","SP","977738.53"
"tramandai","RS","973816.32"
"salinas","MG","973188.36"
"belford roxo","RJ","972595.21"
"caete","MG","968370.48"
"lages","SC","968176.75"
"ibitinga","SP","963376.70"
"ibiuna","SP","962383.20"
"vacaria","RS","954246.23"
"eunapolis","BA","946863.45"
"santo angelo","RS","928030.04"
"canela","RS","927015.76"
"mairinque","SP","923689.20"
"jau","SP","922241.23"
"santiago","RS","916207.60"
"curitibanos","SC","913888.89"
"tijucas","SC","911717.40"
"pereira barreto","SP","911564.09"
"ilha solteira","SP","910818.74"
"paraguacu paulista","SP","898721.83"
"porto ferreira","SP","895420.60"
"jandira","SP","894688.76"
"louveira","SP","892901.07"
"cornelio procopio","PR","892841.40"
"rio verde","GO","877446.20"
"sertaozinho","SP","876548.40"
"santo antonio de posse","SP","873701.64"
"paraty","RJ","870962.48"
"andradas","MG","868638.33"
"cachoeirinha","RS","868220.04"
"sao manuel","SP","866441.19"
"marataizes","ES","861143.53"
"carmo do paranaiba","MG","860795.75"
"itapecerica da serra","SP","857254.87"
"patrocinio","MG","854986.89"
"alfenas","MG","852259.88"
"guararapes","SP","851261.35"
"guapore","RS","845256.72"
"juina","MT","845072.28"
"itatiba","SP","841971.52"
"itapolis","SP","841597.02"
"sao borja","RS","840021.69"
"presidente epitacio","SP","837933.70"
"matinhos","PR","831625.05"
"parati","RJ","827742.12"
"jatai","GO","826522.68"
"aguas de lindoia","SP","825004.36"
"pederneiras","SP","821102.38"
"lorena","SP","819996.09"
"alta floresta","MT","818510.22"
"serra negra","SP","813489.26"
"ilheus","BA","812684.83"
"guarapuava","PR","812436.61"
"itapira","SP","808291.66"
"rio grande da serra","SP","807158.59"
"sao luiz gonzaga","RS","801744.00"
"espirito santo do pinhal","SP","800891.00"
"nanuque","MG","800285.50"
"marica","RJ","800183.41"
"jaboticabal","SP","796957.31"
"brumado","BA","792115.32"
"sao pedro","SP","788472.66"
"carazinho","RS","781562.50"
"machado","MG","776603.20"
"pinhais","PR","775401.53"
"venancio aires","RS","774506.04"
"novo horizonte","SP","773759.42"
"ananindeua","PA","771798.73"
"cacador","SC","768929.41"
"avare","SP","763658.62"
"brusque","SC","761740.96"
"tres pontas","MG","761471.55"
"almenara","MG","758109.88"
"casimiro de abreu","RJ","756992.21"
"anapolis","GO","756879.57"
"uruguaiana","RS","752231.70"
"ibiruba","RS","749866.71"
"abaetetuba","PA","747563.20"
"paraiba do sul","RJ","745649.28"
"santos dumont","MG","739718.62"
"dois irmaos","RS","735868.80"
"sao gabriel","RS","726822.80"
"dois vizinhos","PR","726217.80"
"irati","PR","724586.72"
"ribeirao das neves","MG","722458.00"
"santa vitoria","MG","718296.44"
"cambui","MG","717518.76"
"rancharia","SP","712877.00"
"sao pedro da aldeia","RJ","711612.37"
"senhor do bonfim","BA","709921.35"
"concordia","SC","708468.22"
"monte alegre do sul","SP","698971.40"
"rio do sul","SC","689879.65"
"esteio","RS","688942.79"
"juquitiba","SP","688346.10"
"santarem","PA","687187.91"
"cajamar","SP","685055.80"
"mineiros","GO","680609.64"
"piracaia","SP","678360.27"
"santa luzia","MG","675656.30"
"holambra","SP","672759.36"
"colombo","PR","672223.37"
"cordeiro","RJ","669260.88"
"penapolis","SP","667128.37"
"cerqueira cesar","SP","661636.56"
"varzea paulista","SP","660701.28"
"colatina","ES","659529.23"
"mesquita","RJ","657625.16"
"poa","SP","657469.28"
"carlos barbosa","RS","655830.20"
"cubatao","SP","654800.06"
"petrolina","PE","652797.08"
"lencois paulista","SP","647714.85"
"socorro","SP","646853.90"
"martinopolis","SP","641205.27"
"bebedouro","SP","640477.75"
"barao de cocais","MG","637764.40"
"tupa","SP","635933.36"
"saquarema","RJ","627564.92"
"posse","GO","624256.83"
"leopoldina","MG","623692.26"
"apucarana","PR","621717.83"
"campo belo","MG","621126.80"
"braco do norte","SC","616215.60"
"brumadinho","MG","612159.75"
"claudio","MG","611899.69"
"bom jesus da lapa","BA","611815.86"
"dias d'avila","BA","610980.48"
"fraiburgo","SC","609251.80"
"parnamirim","RN","604795.27"
"cachoeira do sul","RS","603733.92"
"piedade","SP","600180.40"
"cianorte","PR","596190.01"
"taio","SC","595773.60"
"sao sebastiao","SP","595468.82"
"marau","RS","594827.48"
"jaguariaiva","PR","594429.71"
"nova venecia","ES","594274.59"
"imperatriz","MA","593620.22"
"taquara","RS","592989.10"
"veranopolis","RS","592884.48"
"sao fidelis","RJ","592211.76"
"cravinhos","SP","590370.56"
"campo mourao","PR","589341.80"
"iguaba grande","RJ","588567.20"
"ribeirao pires","SP","587085.07"
"bacabal","MA","582525.00"
"cacapava","SP","582299.84"
"bariri","SP","578141.36"
"janauba","MG","577713.26"
"irece","BA","577417.47"
"oliveira","MG","577152.42"
"laranjal paulista","SP","576191.86"
"capelinha","MG","573841.80"
"ouro fino","MG","556927.14"
"laguna","SC","552731.25"
"garopaba","SC","552235.52"
"sao joao nepomuceno","MG","546809.76"
"umuarama","PR","543561.19"
"olinda","PE","542467.56"
"osvaldo cruz","SP","537463.08"
"valparaiso de goias","GO","536656.47"
"cruz das almas","BA","534612.55"
"itapeva","SP","533732.66"
"venda nova do imigrante","ES","532766.64"
"monte azul paulista","SP","532510.20"
"barrinha","SP","529693.78"
"itapetinga","BA","529306.50"
"porto uniao","SC","526049.94"
"chapadao do sul","MS","524274.34"
"sao francisco do sul","SC","523320.20"
"laranjeiras do sul","PR","522707.64"
"ipanema","MG","520863.91"
"alegrete","RS","520196.44"
"pitangui","MG","517849.80"
"joao pinheiro","MG","514967.49"
