"seller_id","total_sales","cnt_approved_order"
"5882820ef11c4c068eea0677a7a879b4","10664.81","14"
"b92e3c8f9738272ff7c59e111e108d7c","10645.30","70"
"cb8bcce248bb1fb274ba762d8b971456","10635.02","69"
"9596c870880d900012f2e8e6e30d06d7","10615.33","24"
"17306570e772e7718c92a562d33f5f1d","10600.63","32"
"a49928bcdf77c55c6d6e05e09a9b4ca5","10574.25","106"
"7b1222c3624aa89b9558b50a2594188c","10561.09","22"
"048c2757535328e0d7dac690ad3c0aae","10551.06","51"
"f27e33c6d29b5138fa9967bcd445b6d5","10482.25","98"
"5b8154610ebb21fb90eb587365e673df","10474.98","41"
"0bae85eb84b9fb3bd773911e89288d54","10406.40","146"
"b2ac621f0d0322434d04a12b078b9369","10356.89","30"
"e96498ed8daaa3e9c23f7a62da76591c","10332.19","34"
"febab0275244b9a49a623f0bd613ca2f","10289.17","129"
"8e8a7ce9f2f970dc00e2acf6f6e199f6","10284.82","66"
"b1a81260566c1bac3114a6d124413f27","10250.20","54"
"972d0f9cf61b499a4812cf0bfa3ad3c4","10240.59","88"
"d98eec89afa3380e14463da2aabaea72","10225.31","183"
"b1fc4f64df5a0e8b6913ab38803c57a9","10140.99","121"
"5f2684dab12e59f83bef73ae57724e45","10123.06","74"
"3c487ae8f8d7542beff5788e2e0aea83","10105.35","33"
"961dff0a659b4561334372337dd897d9","10082.56","4"
"05feb94f19d094d4b0f9281f0b1d4c99","10050.04","6"
"640e21a7d01df7614a3b4923e990d40c","10045.12","137"
"e7df4cd29ab5abab70fb0783ddb53987","10022.07","24"
"7a241947449cc45dbfda4f9d0798d9d0","10018.10","72"
"270297ead4c65a6cd2593960d2af6b21","9968.50","20"
"6d803cb79cc31c41c4c789a75933b3c7","9925.07","66"
"7d456afc660226829370f3173d14520c","9857.87","91"
"2dee2ce60de9709b1a24083217181a1f","9844.56","55"
"a00824eb9093d40e589b940ec45c4eb0","9779.46","3"
"3078096983cf766a32a06257648502d1","9700.90","64"
"4371b634e0efc0e22b09b52907d9d469","9678.79","112"
"ebd2d60905fb58271facef5596b620d3","9675.02","88"
"d03698c2efd04a549382afa6623e27fb","9644.62","21"
"6c12e40690c335dbc2f68a4134d30dc1","9624.26","18"
"06df0c10d34e459d9672bc77388742eb","9595.77","30"
"db2956745b3a8e9f3785c99f34b5d25e","9574.27","48"
"2089a6d640999f9b9141ac719b2af596","9525.94","44"
"8a432f4e5b471f8da497d7dc517666e2","9520.11","106"
"aac29b1b99776be73c3049939652091d","9465.52","138"
"33a17d60c64393351ebf1ef860f4e0f2","9431.86","47"
"37515688008a7a40ac93e3b2e4ab203f","9417.70","240"
"750303a20e9c56b2a6bc45cdce0b897d","9394.81","57"
"6c177e38df6d3f34182b1f1d427231bf","9376.53","56"
"af4a0e4cfe1d9c26b6712b1be25a72e5","9351.60","26"
"fdb9095204a334cd8872252ffec6f2db","9289.37","61"
"609e1a9a6c2539919b8205cf7c4e6ff0","9282.42","130"
"ad781527c93d00d89a11eecd9dcad7c1","9279.26","44"
"a2e874074c877c5a05abae80ad6e488f","9274.80","46"
"fcb5ace8bcc92f75707dc0f01a27d269","9273.33","73"
"b18dc380845b24038cfc48006478f099","9248.93","54"
"93dc87703c046b603023e75222018b45","9206.29","36"
"4bfc7a4a1cf8d4d2121c27422d9e50b5","9191.59","40"
"b4ffb71f0cb1b1c3d63fad021ecf93e1","9176.07","165"
"725c32fa80c2faacc4fc88450d27314e","9166.66","93"
"7722b1df1b0e383e000397b2c11e3e19","9165.30","145"
"403aa86912527d730337ffcb0fb096ab","9164.51","11"
"bd0389da23d89b726abf911cccc54596","9128.47","90"
"8e6cc767478edae941d9bd9eb778d77a","9115.41","114"
"903037660cf848a717166eb7a06d616e","9083.28","60"
"08633c14ef2db992c11f840f04fad4cd","9068.82","97"
"52d76513f0c4d97f3b99570e2c94ee31","9042.36","28"
"0432ead42b6c8a0bdf68154add917fdf","8999.62","90"
"8648b1e89e9b349e32d3741b30ec737e","8946.05","103"
"26d8a1c7c75d513045798992ead43aa2","8945.78","38"
"784ba75dd9d20200c4caed3d7a77141a","8924.95","24"
"989becdce12ebc39863c2bceab6f3ca1","8893.33","18"
"6fd52c528dcb38be2eea044946b811f8","8881.58","84"
"257e61d3251fb5efb9daadddbc2cf7ca","8806.18","12"
"5d0363b33554b373851fc1622e4d5f3c","8802.97","95"
"5b925e1d006e9476d738aa200751b73b","8801.84","63"
"4e17c65a516f69d023a2ae78b84f28d6","8794.80","74"
"8a32e327fe2c1b3511609d81aaf9f042","8792.04","180"
"dbb9b48c841a0e39e21f98e1a6b2ec3e","8768.26","118"
"b410bdd36d5db7a65dcd42b7ead933b8","8733.61","44"
"062ce95fa2ad4dfaedfc79260130565f","8721.44","60"
"e333046ce6517bd8bb510291d44f0130","8699.32","74"
